stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory
24hpf,0,0,0,0,4.09,0,0,0
3Month,0,63.35,0.32,1.6,1.6,0.96,0,0.64
22Month,0.55,37.72,0,0,1.09,0,3.83,0
