stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Secretory
72hpf,0,0,1.07,0,16.05,0
21Day,0,1.34,0,1.34,14.72,1.34
3Month,0.32,0.32,0,0.32,0,0
