stage,Epithelial,Erythroid,Immune,Neuron,Other,Secretory,Stromal
72hpf,0,0,3.21,4.28,0,0,1.07
21Day,2.68,2.68,93.7,9.37,0,1.34,5.35
3Month,3.84,0,60.15,0.32,0,0.96,1.28
22Month,7.11,0.55,15.85,0.55,0.55,0,1.64
