stage,Endothelial,Epithelial,Germ,Immune,Other,Stromal
21Day,0,5.35,0,0,0,1.34
3Month,0,27.52,0.32,0.96,0,0.64
22Month,0.55,33.89,0,2.73,0.55,1.64
