stage,Endothelial,Epithelial,Immune,Muscle,Stromal
24hpf,0,4.09,0,0,0
21Day,0,2.68,1.34,0,0
3Month,0,4.48,2.56,0.32,0.64
22Month,0.55,1.64,2.19,0,0
