stage,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Stromal
21Day,1.34,0,0,1.34,0,0,0
3Month,11.52,0.32,0.32,4.8,0.64,0,0.32
22Month,16.4,0.55,0.55,1.64,0.55,0.55,0
