stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Stromal
21Day,0,1.34,0,0,0,0,0
3Month,0,20.48,0.32,0,1.92,0.32,0
22Month,1.09,35.53,0.55,0.55,3.83,0,0.55
