stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Stromal
24hpf,8.17,0,0,0,4.09,32.69,0
72hpf,2.14,0,0,0,0,109.12,1.07
21Day,9.37,4.02,0,2.68,1.34,139.21,5.35
3Month,0,0,0.32,0,0,0.64,0
