stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,2.14,1.07
21Day,0,1.34,0,8.03,0,0,0
3Month,0.32,4.8,1.28,0.96,0.64,0,0.64
22Month,1.09,9.84,1.09,2.19,0,0,0.55
