stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,4.09,0,0,4.09,0,0,0
72hpf,0,2.14,0,0,2.14,1.07,0,2.14
21Day,0,0,1.34,0,0,0,2.68,2.68
3Month,0.32,1.28,0,0.32,0,0,0.32,0
22Month,0,2.73,0,0,0,0,0.55,0.55
