stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other
24hpf,4.09,0,0,0,0,8.17,0
72hpf,0,3.21,0,0,0,0,0
22Month,0,81.45,0.55,0.55,1.09,1.09,7.65
