stage,Epithelial,Erythroid,Muscle,Neuron,Secretory
24hpf,0,0,4.09,4.09,0
72hpf,0,0,0,32.09,0
21Day,1.34,1.34,1.34,30.79,1.34
22Month,2.19,0.55,0,0,0
