stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory
24hpf,0,0,0,0,0,0,8.17,0,0
72hpf,0,1.07,0,0,0,0,1.07,0,0
21Day,0,4.02,1.34,0,0,0,22.76,0,0
3Month,0.32,6.08,0,15.68,1.6,0.32,0.64,0,0
22Month,0.55,12.57,0,1.64,0.55,0,7.11,1.64,0.55
