stage,Endothelial,Epithelial,Erythroid,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,4.09,0,0
72hpf,1.07,2.14,0,0,2.14,0,12.84
21Day,4.02,1.34,1.34,6.69,4.02,1.34,25.43
