stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory,Stromal
72hpf,16.05,0,0,0,0,0,0,2.14
21Day,33.46,1.34,0,1.34,1.34,0,0,0
3Month,4.48,0,0.32,1.92,0,0,0,0.32
22Month,20.23,0,0,2.73,0.55,0.55,1.09,4.37
