stage,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,12.26,0,0,0
72hpf,1.07,0,0,0,0,1.07
21Day,1.34,0,0,0,0,0
3Month,15.04,0.32,0,0,0.32,0.32
22Month,14.21,1.09,0,2.19,0,0.55
