stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron
72hpf,0,7.49,0,0,0,1.07
21Day,0,4.02,0,0,0,4.02
3Month,0,9.92,0.32,3.2,0.32,0
22Month,0.55,9.29,0.55,2.73,1.09,0
