stage,Epithelial,Erythroid,Germ,Muscle,Secretory,Stromal
24hpf,4.09,0,0,0,0,4.09
21Day,0,2.68,0,0,0,0
3Month,1.92,0,34.23,0.32,0.32,0.32
22Month,1.09,0,3.28,0,0,0
