stage,Endothelial,Epithelial,Erythroid,Germ,Neuron,Stromal
24hpf,4.09,8.17,4.09,0,93.99,8.17
72hpf,0,3.21,0,0,7.49,6.42
21Day,0,0,1.34,0,0,1.34
3Month,0,0,0,0.32,0,0
22Month,0,0,0,12.03,0,0
