stage,Epithelial,Erythroid,Immune,Muscle,Stromal
72hpf,12.84,1.07,0,0,1.07
21Day,9.37,0,2.68,0,0
3Month,5.76,0.32,2.88,0.32,0
22Month,0,0,1.09,0,0
