stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other
24hpf,4.09,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,9.63,1.07
21Day,1.34,1.34,0,0,1.34,2.68,0
3Month,4.16,0,1.28,0.96,0,0,0
22Month,2.19,0,0,0.55,0,0,0
