stage,Epithelial,Germ,Immune,Neuron,Stromal
72hpf,0,0,0,3.21,0
21Day,0,0,2.68,1.34,0
3Month,3.84,1.92,20.48,0,0.32
22Month,0,0,2.19,0,0
