stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other
72hpf,0,0,0,0,5.35,0
21Day,0,0,0,0,1.34,0
3Month,8.64,0.32,0.32,0,0,0
22Month,0,0,0,0.55,0,2.73
