stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Secretory
24hpf,0,4.09,0,0,0,0
72hpf,0,59.91,0,0,2.14,0
21Day,0,70.94,2.68,0,2.68,1.34
3Month,1.28,8.32,0,0.64,0,0
