stage,Epithelial,Immune,Muscle,Neuron,Other,Secretory
72hpf,0,0,0,14.98,0,0
21Day,0,0,0,6.69,0,1.34
3Month,5.44,0.32,0,0,0,0
22Month,85.28,0.55,1.09,0,0.55,0
