stage,Endothelial,Epithelial,Germ,Immune,Neuron,Secretory
24hpf,0,4.09,0,0,0,0
72hpf,0,9.63,0,0,3.21,0
21Day,0,1.34,0,1.34,0,1.34
3Month,0.32,2.56,3.2,0.96,0,0
22Month,0,0,0.55,0,0,0
