stage,Epithelial,Erythroid,Immune,Muscle,Other,Secretory,Stromal
21Day,1.34,0,1.34,0,0,0,0
3Month,6.4,0,1.28,4.16,0,0,0
22Month,3.28,0.55,3.28,0.55,0.55,0.55,1.09
