stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Stromal
24hpf,0,0,0,0,8.17,0
72hpf,0,1.07,0,0,2.14,0
21Day,0,0,0,0,2.68,1.34
3Month,1.6,0,0.64,0.32,0,0.32
