stage,Endothelial,Epithelial,Immune,Neuron,Other,Stromal
24hpf,0,0,0,4.09,4.09,4.09
72hpf,1.07,2.14,0,1.07,0,0
21Day,4.02,12.05,0,0,0,0
3Month,0.64,34.23,1.28,0,0,0.32
22Month,0,31.71,0,0,0.55,0.55
