stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Stromal
24hpf,0,8.17,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,9.63,0,0
21Day,0,2.68,0,0,0,13.39,0,1.34
3Month,0,1.92,0,1.6,0.32,0,0,0.32
22Month,0,10.93,0.55,0,1.64,0,0.55,1.64
