stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,12.26,0,0,0
72hpf,0,0,0,0,4.28,0,0,0
21Day,0,0,0,1.34,0,0,0,0
3Month,12.16,0,2.88,13.44,0.32,0,0.64,1.28
22Month,62.87,0.55,4.92,19.13,1.09,3.83,1.64,3.28
