stage,Epithelial,Germ,Immune,Neuron,Secretory
24hpf,0,0,0,8.17,0
72hpf,1.07,0,0,6.42,0
21Day,2.68,2.68,1.34,5.35,0
3Month,4.8,8.96,0.64,0.64,0.32
22Month,3.28,1.09,0.55,0.55,0
