stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Stromal
72hpf,0,1.07,0,0,0,1.07,1.07
21Day,0,5.35,5.35,0,2.68,0,1.34
3Month,0.64,12.16,0,0.32,3.2,0,0
22Month,0.55,18.04,0.55,0,6.01,0,0
