stage,Epithelial,Germ,Immune,Muscle,Other,Secretory,Stromal
21Day,25.43,0,1.34,0,0,1.34,0
3Month,43.19,1.6,7.68,0.96,0,0,0
22Month,8.75,0.55,3.28,0,0.55,0,0.55
