stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
24hpf,0,0,0,0,0,0,4.09
21Day,0,10.71,1.34,0,1.34,0,1.34
3Month,0.64,8.96,0.32,0.96,0.96,0.64,0
22Month,0,0.55,0,3.83,0,0,0.55
