stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,20.43,4.09
72hpf,1.07,0,0,1.07,14.98,2.14
21Day,0,1.34,0,1.34,4.02,6.69
3Month,0,0.32,0.64,0,0,0
22Month,0,0.55,0.55,0,0,0.55
