stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Other,Stromal
24hpf,0,4.09,0,0,20.43,4.09,0
72hpf,0,3.21,0,1.07,3.21,0,1.07
21Day,1.34,2.68,0,0,6.69,0,6.69
3Month,0,0.96,2.56,0,0.96,0,0
