stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,4.09,0,0,0,36.78,4.09
72hpf,3.21,5.35,0,1.07,18.19,4.28
21Day,6.69,16.06,1.34,4.02,12.05,6.69
3Month,0.96,0,0.64,0,0.32,0
