stage,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,20.43,0,0,8.17
72hpf,0,0,0,1.07,3.21,0,0,7.49
21Day,0,0,0,1.34,1.34,0,0,22.76
3Month,5.44,11.2,6.72,0,0,0,0.64,2.56
22Month,33.89,24.6,4.92,0.55,0.55,44.83,1.09,2.19
