stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,4.09,0,0,4.09,0,0,0
72hpf,0,73.82,0,0,7.49,0,1.07,0
21Day,0,89.68,0,0,10.71,2.68,2.68,0
3Month,0.32,1.92,0,0,0.32,0,0.32,0.32
22Month,0,0,1.64,0.55,0,0,0,0
