stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Other,Secretory,Stromal
72hpf,1.07,0,0,0,0,0,1.07,0
21Day,0,1.34,1.34,1.34,0,0,0,0
3Month,0,20.48,0,1.6,3.2,0.32,0.32,0.96
22Month,0,5.47,0,1.64,0.55,2.73,0,0
