stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,4.09,4.09,0,8.17,4.09,0,4.09
72hpf,0,2.14,0,0,5.35,0,4.28
21Day,0,2.68,0,1.34,0,0,6.69
3Month,0,2.56,0.96,0.32,0.32,0.32,0.32
22Month,0,4.92,0,0,0,0,0
