stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,8.17,12.26,0,0,4.09,122.59,24.52
72hpf,1.07,2.14,0,0,3.21,12.84,7.49
21Day,0,0,1.34,0,4.02,1.34,28.11
3Month,0,0.64,0,0.32,0,0,0
22Month,0,2.73,0,0,0,0,0.55
