stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,0,12.26,0
72hpf,0,1.07,0,0,0,1.07,1.07
21Day,0,0,0,0,1.34,0,0
3Month,0.32,1.28,1.92,0.32,0,0,0.32
22Month,0,4.37,13.67,0.55,0,0,0
