stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Stromal
24hpf,4.09,0,0,4.09,49.04,0
72hpf,0,0,0,3.21,5.35,0
21Day,0,1.34,1.34,0,0,1.34
