stage,Endothelial,Epithelial,Germ,Immune,Neuron
24hpf,0,0,0,0,12.26
72hpf,0,0,0,0,11.77
21Day,1.34,1.34,0,0,10.71
3Month,0,0.64,0.32,0.32,0
