stage,Epithelial,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,16.35,0
72hpf,0,0,0,1.07,2.14,0
21Day,0,0,4.02,0,0,0
3Month,1.28,0.32,0.32,0,0,0.32
22Month,0.55,0,1.09,0,0,0
