stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
24hpf,0,0,0,0,49.04,0,0
72hpf,1.07,0,0,0,27.81,0,2.14
21Day,0,1.34,1.34,2.68,13.39,0,8.03
22Month,0.55,0,0,0,0,0.55,0
