stage,Epithelial,Germ,Immune,Muscle,Neuron,Secretory,Stromal
72hpf,0,0,0,0,0,0,1.07
21Day,4.02,0,37.48,1.34,2.68,1.34,1.34
3Month,0.64,0,0,0,0,0,0
22Month,3.83,0.55,1.64,0,0,0.55,0
