stage,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
24hpf,0,0,0,4.09,0,0
72hpf,7.49,0,0,1.07,0,0
21Day,4.02,1.34,1.34,4.02,1.34,1.34
3Month,33.91,0.32,1.6,0,0,0.64
22Month,48.65,0,0,0,0,0
