stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory
24hpf,8.17,0,0,0,0,4.09,0,0
72hpf,6.42,0,0,0,1.07,1.07,0,0
21Day,8.03,1.34,0,0,0,1.34,0,0
3Month,2.24,0,0.64,0.64,0,0,0,0.32
22Month,7.65,0,0,0,0,0,1.09,0
