stage,epidermis,eye,hatching_gland,neural,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,0,3.64,24,0,0,0
 10-12,0,0,0,27.39,11.87,0,0
 24-34,0,0,0,0,0,0,0.82
 36-46,0,0,0,0.95,0,0,0
 48-58,0,4.17,0,0.53,0,0,0
 60-70,0,0,0,4.75,0,0,0
 72-82,0,3.77,0,0,0,0,0
108-118,0,0,0,0,0,2.95,0
120,2.38,0,0,0,0,2.04,0
