stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,24.96,328.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,95.59,945.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.52,0,0,16.22,18.05,0,0,0,0,0,0,0
  7-9,30.73,60.52,0,26.76,0,0,238.11,0,0,0,0,0,58.14,0,0,0,0,0,0,0,1098.04,36.44,0,446.78,4.29,0,0,0,0,0,0,0
 10-12,0,50.64,0,84.32,0,0,87.72,0,0,0,0,0,19.06,0,0,0,0,0,0,0,665.84,0,0,377.76,0,0,0,18.01,0,0,0,0
 14-21,0,0,0,0,6.42,0.83,8.11,0,0,0,0,0,0,0,0,0,1.08,4.34,0,0,53.41,0.87,0,2.13,0,1.23,2.11,0,12.17,23.25,0,0
 24-34,0,0,0,0.68,4.13,0,6.67,0,0,0,1.18,0,0,0,0,0,0,5.05,0,1.02,151.64,0.75,0,0,0,0,0,0,0,10.01,0,3.29
 36-46,0,0,0,0.93,2.18,0,9.89,0,0.88,1.13,3.72,0.56,0,0,0,0,0,9.73,0,2.3,66.08,0,0,0,0,0,0,0,0,21.23,0,0
 48-58,0,0,0,0,2.9,0,19.21,0,0,0,7.93,0,0,0,0,0,0,6.01,0.46,0.81,66.05,0,3.99,0,0,0,0,0,0,5.84,1.78,0
 60-70,0,0,0,0,0,0,11.45,0.81,0,0,6.25,0,0,0,0,0,0,1.25,0,3.18,24.26,0,0,0,5.94,0,0,0,0,1.74,0,0
 72-82,0,0,0,0,1.15,0,13.28,0,0,0,10.17,0,0,0,0.95,1.24,0,2.94,0,0.56,52.48,0,0,0,1.53,0,0,0.6,0,5.27,1.38,0
 84-94,0,0,0,0,2.56,0,6.89,0,0.56,0,0,0,0,1.41,0,0,0,1.64,0,1.23,25.99,0,0,0,4.19,0,0,0,0,6.27,0,0
 96-106,0,0,0,0,1.94,0,1.49,0,0,0,1.97,0.73,0,0,0,9.42,0,7.66,0,0,35.13,0,0,0,3.76,0,0,0.67,0,0,0.66,0
108-118,0,0,1.77,0,3.28,0,8.27,0,0,0,8.57,1.47,0,0,1.02,0.48,0,7.66,0,3.25,46.42,0,0,0,0,0,0,0,0,3.77,1.44,0.65
120,0,0,0,0,6.38,2.36,10.49,0,0,0,0,1.53,0,5.72,0,0,0,24.9,0,3.3,47.67,0,0,0,0,0,0,1.02,0,0,0,0
