stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,15.77,118.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.02,70.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.83,3.3,0,0,3.61,0,0,0,0,0,0,68.01,0,0,3.75,0,0,0,0
 10-12,0,4.2,0,0,0,9.63,0,0,0,0,0,0,24.23,0,0,25.44,0,0,0,0
 14-21,0,0,0,0.83,1.05,2.17,1.22,1.5,0,0,0,0,8.55,0,0,0,0,0.8,5.51,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.99,0.67,14.54,0,0,0,0,0.62,2.82,1.4
 36-46,0,0,0,0,0,2.25,0,0,0,0,0,0,5.24,0.91,0,0,1.2,0,1.81,0
 48-58,0,0,0,0,0,4.89,1.3,0,0,0.88,2.88,0,9.02,0,0,0,0,0,2.49,0
 60-70,0,0,0,3.28,0,0.87,2.27,0,0,0,0,0,17.38,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.95,0,0,0,0,2.5,0.92,3.09,0,0,0,0,0,4.56,0
 84-94,0,0,0,0,0,0.66,0.67,0,0,0,0,0,1.24,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.53,0,0.77,0.63,0,1.41,0,6.29,0,0,0,0.71,0,0,1.25
108-118,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,5.63,0,0,0.7
120,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0
