stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 24-34,0,1.05,0.64,0,0,0,0,0,0,0,0,0,0.6,0,0,18.77,0,1.59,0,0.62,2.33,0,0.96,0
 36-46,0,0,2.44,0.62,0,0,0,0,0,0,0,0,0,0,0,14.21,0,0,0,0,2.42,0,0,0
 48-58,0,6.53,6.75,0,0,1.64,0,0.37,0,0,0,0,3.06,0,2.62,35.56,2.02,0,0,7.26,2.18,0,0,0
 60-70,0,1.05,2.42,0,0,0,0,0,0,0,0,0,3.13,0,0,7.78,0,0,0,0,0.67,0,0,0
 72-82,0,0,6.29,0.73,0.51,2.64,0,0,0.51,0,0,0,12.57,6.29,0.88,16.97,0,1.32,0,1.01,2.15,0.5,0,0
 84-94,0,0.57,0.61,0,0,11.76,0,0,0,1.56,0,0,13.6,0,0,2.27,0.76,0,0,4.4,0,0,0,0
 96-106,0.63,5.92,6.52,0,0,11.09,0.76,0,0,0,0.63,0,5.99,0,0,16.68,0,1,0,13.7,0,0,1.35,0
108-118,0,3.59,11.73,0,0,13.15,0,0,0,0,0,1.66,3.13,0.45,0,4.23,0,0,1.57,2.86,0,0,1.69,0
120,0,0,22.9,1.41,0,0,0,0,0,0,0,0,0,0,0,12.27,22.94,3.15,0,0,0,0,0,1.99
