stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,67.22,776.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0
  5-6,87.42,1291.53,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,157.52,9.37,0,0,37.9,16.2,0,0,0,0,0,0,0,0
  7-9,19.47,0,11.3,0,0,0,26.22,0,0,0,0,4.26,0,0,0,0,0,0,0,405.86,7.41,0,0,88.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.44,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,108.01,0,0,0,12.1,3.1,0,4.94,0,0,0,0,0,0
 14-21,0,0,0.93,12.5,0.92,0,6.11,1,0,0,0,3.47,0,0,0,0,0,2.31,6.52,35.24,0,0,0.85,2.12,0,5.56,0.86,3.72,11.36,0,0,0,0
 24-34,0,0,0,1.32,0,0,1.12,0,0,0,0,0,0,0,0.97,0,0,4.02,2.35,20.73,0.66,0,0,0,6.4,0,0,1.26,7.13,0,0,1.46,0
 36-46,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,4.02,0.78,14.21,0,0.83,0,0,3.63,0,0,0,3.27,0,0,0,0
 48-58,0,0,0,0,0,0,26.03,0,0,1.25,0,0,0,0.57,0,0,1.3,4.73,3.94,33.27,0,0,0,0,5.5,0,0,0,1.83,0,0,0,0
 60-70,0,0,0,0,0,0,11.78,0,0,0.67,0,0,0,0,0,0,0,4.32,0,15.07,0,0,0,0,1,0,0,0,1.33,3.21,0,2.96,3.92
 72-82,0,0,0,0,0,0,21.65,0,0,1.54,0,0,0.51,0,0,0,0,2.19,0,26.64,0,0,0,0,0,0,0,0,0.55,0,0.93,0.94,0
 84-94,0,0,0,0,0,0,6.79,0,0,0,0.57,0,0,1.2,0,0,0,3.81,0.74,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,16.05,0,0.82,0.99,0,0,0.73,0,0,0,0,8.81,0,16.2,0,0,0,0,7.46,0,0,0,0,0,1.2,0.91,0
108-118,0,0,0,0,0,0.74,6.23,0,0,0,0,0,0,0.84,0,0.92,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,4.51,0
120,0,0,0,0,0,0,36.77,0,0,0,0,0,0,1.3,0,0,0,4.31,6.08,10.33,0,0,0,0,2.44,0,0,0,0,0,0,0,0
