stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,78.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.34,0,0,0,0,44.7,3.17,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.51,5.13,0,1.04,0,1.77,1.71,0,0
 24-34,0,1.55,0,0.61,1.35,0,0,0,4.59,0,1.7,9.67,0,0,0,0,1.11,1.89,0
 36-46,0,0,0.76,0,0,0,0,0.62,2.03,0,0,11.2,0,0,0,0,3.05,0,0
 48-58,0,0,0,0,0,0,0,7.93,2.34,0,2.7,6.18,0,0,0,0,2.43,0,0
 60-70,0,0.63,0,0,1.53,0,0,5.2,11.87,1.09,1.33,8.36,0,0,0,0,0,0,0
 72-82,0,0,0,3.5,3.37,0,0,5.79,11.37,0,5.9,5.29,0,1.21,0,0,0,0,1.94
 84-94,0,0,0,3.4,0,0,0,12.31,2.35,0,0,14.74,0,0,0,0,0,0,1.81
 96-106,0,0,0,10.69,0,2.55,0,11.97,1.76,0,0,2.03,0.66,1.81,0,0,0,0,1.71
108-118,0,0.76,0.43,13.08,3.29,0.81,0,8.2,2.57,0,0,7.52,0,2.42,2.3,0,0,0,0
120,0,0,0,13.22,0,0,0,46.3,15.7,0,0,0,0,0,1.05,0,0,0,0
