stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.63,65.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,47.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0
  7-9,15.99,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.97,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.97,11.68,0.93,0,4.01,0,0,0,0,0,0,0,0,0,0,1.05,1.77,0,0,6.16,57.73,0,0,0,0,0,0,3.83,0.9,16.29,36.59,0,0,0,0,0
 24-34,0,0,0,0,4.46,0,0,17.23,0,0,0.61,0.67,0,0,0,0,1.63,0,0,23.63,0,0,9.16,192.98,1.28,5.23,3.82,0,0,4.29,0,0,1.97,49.5,0,0,1.5,0,0
 36-46,0,0,0,0,0,0,0,42.18,0.88,0.62,16.56,0,1.71,0,0,0,1.31,0,0,44.85,0,0,4.25,295.79,0,2.63,3.5,0,0,6.62,0,2.63,0,42.05,0,0,0,0,0
 48-58,0,0,0,0,1.64,0,0,70.95,0,0.78,20.67,0,0,0,0,0,0,0,1.34,34.96,0,0.87,2.6,370.14,0,5.82,1.47,0,0,4.12,0,0,0,61.93,0,0,1.81,0,0
 60-70,0,0,0,0,2.07,0,0,143.65,0.79,0,24.28,0,0,0,0,19.31,1.13,0,0,30.46,0,0,6.06,392.28,0,6.15,0,0,0.66,2.78,0,0,0,47.72,0,0,0,2.15,11.26
 72-82,0,0,0.69,0,5.46,0,1.04,136.54,0,0.68,20,1.99,0.82,0.68,2.21,0,0.55,0,0,88.56,0,0,3.19,368.7,0,3.35,3.8,0,0,1.54,0,0,0,61.88,0,0,0.54,0.59,0
 84-94,0,0,0,0,3.41,0,0,129.87,0,4.63,21.51,2.19,0,1.5,0,1.02,0,0,0,33.45,0,2.23,4.37,257.08,0,7.4,5.13,0,0,4.27,0,2.26,0,30.72,0,0,1.22,0.68,4.76
 96-106,0,0,0,0,3.77,0.67,0,118.22,0,0,23.33,0,0,0.9,0.63,0,0,0,0,46,0,2.11,3.36,195.7,0.64,8.35,5.41,0,0,2.47,0,1.39,0,13.41,0,3.99,5.24,0,0
108-118,0,0,0,0,11.22,0,0,150.13,1.03,2.33,13.06,1.51,0,0,1.36,1.59,0,1.58,0,57.66,0.49,2.11,4.55,323.57,0,3.82,12.31,0,0,2.61,0,0,0,16.02,0,1.37,2.9,0,0
120,1.19,0,0,0,6.24,0,0,127.83,0,0,60.76,2.56,0,0,0,0,0,0,0,45.07,0,8.17,1.9,383.21,0,4.59,14.59,0,0,2.98,0,0,0,25.41,4.23,0,17.29,0,0
