stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23,3.95,0,0,0,0,0,0,0
 10-12,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.42,0,0,0,5.35,0,0,0,0
 14-21,0,0,21.95,0,0,0,0,0,0,0,0,0,0,0,0,1.11,6.83,1.53,0,0,0,4.3,13.28,0,0
 24-34,0,0,6.67,0.62,0,0,0,0.69,0,1.32,0,0,0,0,0,0,4.76,0,1.18,0,0,0,0,0,0
 36-46,0,0,0.58,0,0.66,0,0,0,0,0,0,0,0.66,0,0,0,4.44,0,0,0,0,5.17,1.14,0,0
 48-58,0,0,1.47,0,0,0,0,0,0,0,0,0.44,0,0,0,0,2.23,0,0,0,0,0,0,0,0
 60-70,0,0,5.47,1.82,3.7,0,0,0,0.6,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.65
 72-82,0,0,0.71,0.88,0,0,1.15,0,0,0,0,0,0,0,1.28,0,4.82,0,0,3.18,0,9.28,0,0,1.3
 84-94,0,0,5.29,0,0,0,0,0,0,0,1.42,0,0.56,2.58,0,0,11.71,0,0,0,0,6.15,0,0,0
 96-106,0,0,0.72,1.76,0.96,0,0,0,0,0,0,2.32,0,3.05,0,1.59,7.92,0,0,0,0,4.74,0,0,0.66
108-118,0,0,4.26,3.95,1.28,0,0.44,0,1.13,0,0,0,0,0,0,0,6.08,0,0,0,0,6.31,0,1.01,0
120,0,0,7.6,0,1.42,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0
