stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.89,17.37,60.52,1092.09,180.02,0,324.78,0,0.87,0,55.28,16.15,56.41,49.62,2.45,44.98,0,2.1,1.88,1.16,513.57,11.55,0,391.56,2284.04,128.28,21,47.16,34.42,0,378.49,6.94,387.46,47.66,72.47,668.07,636.07,0,0,43.82,0,9.37
 24-34,0,1.29,0,55.7,9.99,0,129.2,1.49,4.99,1.67,15.18,0,3.63,4.51,3.05,3.58,0,1.62,0.71,9.04,80.76,2.53,1.64,30.59,1150.1,8.67,21.86,10.18,0,0,85.26,0,2.33,2.37,0,7.26,233.95,0,0,34.43,0,5.79
 36-46,0,0,0,39.59,30.78,0,385.29,5.81,1.02,0,30.51,0.95,0,2.01,12.46,0.66,0,0.81,5.53,0,156.46,1.19,1.84,26.99,1356.59,21.13,3.21,3.25,0,0,56.08,0,0,19.65,0.57,0.91,237.13,0,0,21.35,0,3.4
 48-58,0,0,0,24.59,117.3,0,492.13,3,7.07,0,51,0,0,0.91,4.27,0.48,0.88,0,0,1.75,108.97,0.47,21.93,21.71,891.04,8.8,1,1.47,0,0,13.51,0,0,1.07,0,0,149.62,0,1.22,10.02,0,8.92
 60-70,0.81,0,0,31.03,61.91,0,314.37,2.05,7.06,3.06,53.56,0.75,0,0,2.32,0,1.27,1.39,0,0,127.47,0,9.63,10.37,560.28,6.6,0,1.79,0,0,19.07,0,0,4.44,0,0,54.12,0,5.3,10.81,0,10.9
 72-82,0,1.15,0,7.14,82.57,0,133.28,0,5.92,0.58,40.5,1.19,0,0.75,6.23,0,0,0,0,0,88.97,5.38,0.81,11.38,202.94,1.31,3.16,0,0,0,1.03,0,0,0.57,0,0,7.74,0,2.84,5.12,0.52,5.31
 84-94,0,0,0,28.87,65.01,0,122.46,0,9.46,0.7,30.35,1.96,0,2.76,5.89,1.64,5.02,0.81,0.56,0,98.8,4.43,2.49,16.71,164.64,4.44,6.47,2.41,0,3.12,5.52,0,0,0,0,0,8.2,2.72,3.63,8.05,1.73,2.19
 96-106,0,0,0,23.72,195.49,0.8,85.07,0,0.96,2.8,24.9,6.14,0,0,17.6,0.8,0,0.9,7.84,6.77,35.99,0,12.33,6.4,150.3,1.92,0,1.5,0,0,15.65,0,0,1.36,0,0,1.69,0.67,0.75,8.75,3.4,1.21
108-118,0,0,0.49,23.83,182.67,0.52,105.18,0.5,2.58,1.54,35.28,5.17,0,0.71,8.98,0,3.3,0.6,13.2,3.56,71.11,5.31,0.62,7.02,246.28,3.97,3.98,4.43,0,0,15.35,0,0,0.78,0,0,3.93,0.44,2.05,7.53,0,0
120,0,0,0,14.39,99.74,0,95.47,1.04,0,0,22.54,3.5,0,0,15.41,1.36,1.01,0,0,1.33,34.35,0,2.35,12.32,312.78,0,0,0,0,0,6.58,0,0,0,2.07,0,0,0,0,33.35,6.15,0
