stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4.5,0,0,0.96,0,0,0,0,0,0,0,0,21.42,0,0,0,0,0,0,0,0,145.01,0,0,0,0,0,1.11,0,0,51.86,0,0,0,0,0
 24-34,0.67,1.92,0,0,12.05,0,1.86,0,0,0,0,0,0,66.27,0,0,0,0,0.79,9.47,0,10.09,1478.16,0,17.05,4.73,0,3.24,0,1.06,0,165.84,0,0,0,0,0
 36-46,2.81,4,0,0,431.3,0,2.04,0.57,17.66,0,0,0,0,12.27,0,0,0,7.91,4.07,0,0,0,3511.08,5.25,12.7,3.13,0,6.5,0,1.05,0,203.99,0,0.85,0,0,0
 48-58,0,37.61,0.43,0,2960.13,5.23,5.46,0.4,175.4,0,0,0,0,11.15,28.35,0.4,1.98,0,21.61,4.42,5.95,14.5,6157.59,6.25,6.9,10.71,0.56,10.85,0,9.18,0,393.12,0,0,1.04,0,12.29
 60-70,0,24.54,3.58,0,10703.82,4.26,5.64,0,355.66,0,0.66,0,5.18,30.87,20.36,1.39,0,0,29.62,0,4.56,10,7510.19,9.64,3.01,10.56,1.9,8.23,0,1.06,0,656.58,0,0.71,11.14,0,6.71
 72-82,1.55,62.25,21.35,0,12248.59,0,6.26,6.75,366.75,6.95,0,0.5,0.49,30.59,10.43,10.6,0,1.89,57.52,6.97,2.32,3.9,6702.77,0,22.45,43.98,1.77,7.85,0,2.26,3.45,404.39,1.58,2.45,8.92,2.95,1.33
 84-94,0,87.34,1.3,2.96,6294,0.56,2.66,9.97,373.39,1.64,0,1.27,6.19,56.44,22.71,3.25,3.95,5.22,77.48,0,28.63,12.68,4617.78,1.29,13.29,34.02,0,21.64,0,0,0.63,318.17,0,0.88,10.23,2.68,0
 96-106,0,63.02,29.61,0,5383.01,0,2.68,5.07,247.83,4.95,0,1.49,7.31,33.53,1.59,8.53,51.9,0,60.75,0,3.78,8.73,3951.81,1.9,18.36,42.67,5.54,17.79,0,3.47,0,100.76,0.61,1.74,0.61,1.6,0.85
108-118,0.83,49.28,1.67,11.78,4454.74,3.47,1.15,0,201.38,2.18,0,0,4.32,54.94,3.81,7.85,5,0.52,53.67,0.97,9.4,11.78,3788.49,1.62,16.81,48.4,4.08,1.28,0,4.25,0,110.88,0,0,4.63,1.16,2.21
120,0,48.01,10.25,7.39,3318.89,12.08,1.21,15.86,467.21,1.18,0,5.33,9.2,27.16,16.69,25.24,13.24,0,128.54,0,22.6,16.15,6167.32,0,35.07,60.01,0,23.06,0,0,0,96.15,0,0,7.75,0,0
