stage,endoderm,epidermis,eye,glial,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,somites,spinal_cord,vasculature,xanthophores
  7-9,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0
 14-21,0,2.06,0.84,0,0,0,1.21,0,0,1.25,0,0,0,0,0,0.81,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.71,14.86,0.64,0.75,0,0.7,0,0,0,0.86,1.65
 36-46,0,0,6.62,0,0,1.49,0,0,0.93,11.29,0,1.08,0,0,0,0,7.52,3.73,0
 48-58,0,0,4.61,3.02,0,0,1.08,0,0,18.67,0,0,0,0,0,0,3.45,0,1.7
 60-70,0,0,6.97,0,0,0,3.06,0,0,20.28,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.17,0,0,0,4.69,0,0,18.56,0,0,0,0,0,0,3.21,0,0
 84-94,0,0,3.83,0,0,0,0.91,0.65,0,5.35,0,0,0,3.75,0,0,0,1.36,0.74
 96-106,0,0,2.46,0,1.73,0,0,0,0,8,0,0,0,0,0,0,0,0,0
108-118,0,0.57,0.52,2.16,0,1.59,0.55,0,0,14.56,0,0,0.71,0,0,0,0,0,3.13
120,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0
