stage,endocrine_pancreas,epidermis,eye,glial,gut,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord,xanthophores
 14-21,0,3.85,0.89,14.32,0,0,0,0,0,1.35,22.17,0,0,4.14,0.87,17.03,42.29,0
 24-34,0.81,0,2.3,6.6,0,0,0,0,0,0,34.85,0.62,1.55,0,0,3.71,40.88,0
 36-46,0.98,0,1.96,11.08,0,0,1.34,0,1.45,0,24.71,0,0,0,0,10.34,14.57,0
 48-58,0,3.04,0.75,13.01,0,0,0,0,0.58,0,15.37,0,1.01,4.08,0,3.3,8.7,0
 60-70,0,0,0.78,3.76,0,0,0,0,0,0,30.4,0,1.4,0.57,0,0,9.06,0
 72-82,0,0,5.29,8.84,0.76,0.5,0,0,1.92,0,18.03,0,1.27,0,0,0,1.98,4.61
 84-94,0.74,0.82,0,5.4,1.57,0,0,0,0.56,0,7.7,0,0,1.3,0,0,6.6,0
 96-106,0,0,2.84,9.9,0,0,0,0.58,2.44,0,10.36,0,0,1.29,0,0,0.78,0
108-118,0,0,2.29,6.09,0.5,0,0,0,0.99,0,17.98,0,3.23,0.52,0,0,1.74,0
120,0,0,4.74,6.78,0,0,0,0,0,0,67,0,0,5.22,0,0,0,0
