stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,11.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,77.31,4.95,0,0,0,0,0,0,1.66,0,0,0,0,0,0,21.46,0,20.89,17.59,4.32,0,0,0,2.29,2.75,0,4.77,2.74,0,0,1.94,0,0
 24-34,0,0,17.88,0.66,0,2.33,0,0,0,0,1.99,5.79,0,0,1.48,0,0.69,25.52,0,12.56,30.77,0,0,0,0.99,1.19,0,0,0,0,0,0,12.33,0,0
 36-46,0,0,17.03,0,0,0.96,1.85,0,0.79,0,4,2.94,0,0,0.67,0,2.61,44.06,0,11.52,18.75,0.88,0,0,0,0,0,0,0,1.11,0,0,7.53,0,4.56
 48-58,0,0,4.96,0,0,1.45,1.57,0,0.49,0,0.49,2.15,0,6.42,0,0,6.67,29.32,0.83,5.82,32.29,0,0,0,0,0.5,0,0.4,0,1.31,0,0.51,3.38,0,0
 60-70,0,0,21.5,0,0,4.68,2.23,2.7,6.94,0,0,14.99,0,2.56,0,0,0.59,82.28,6.65,6.67,10.36,0,0,0,2.41,3.5,0,0,0,0,0.73,2.73,3.89,0,1.66
 72-82,0,0.71,14.45,5.65,0,2.91,0,1.51,5.63,0.65,0,11.83,0,1.2,0.92,0,6.63,75.46,5.45,4.81,17.03,0,0,0,1.89,0,0,0,0,0,0,1.85,1.32,3.41,0
 84-94,0,0,16.67,0,0,6.58,3.64,0,4.49,0,0,24.53,0,4.99,1.32,0,3.4,80.6,9.69,2.37,19.05,0,0,0,6.53,4.12,0,0,0,0,0,1.38,5.79,1,6.18
 96-106,0,0,23,9.89,0,17.46,12.3,0.57,8.14,0,6.77,21.75,0.85,9.88,0,0,1.06,135.29,5.47,3.46,30.09,0,2.52,0,9.22,9.74,0,0,0,2.6,0,0,9.81,2.34,5.48
108-118,0,0.71,37.32,0.51,0.48,4.9,10.06,7.26,11.17,0.59,0,17.81,0.45,14.37,1.74,0.67,8.64,119.37,10.36,9.82,22.77,0,0,0,9.22,1.98,0,0,0,0,0.55,3.83,5.41,5.42,9.64
120,0,0,34.32,0,2.19,5.22,4.11,0,7.67,0,2.11,52.06,0,5.87,2.74,0,10.37,122.48,11.39,5.73,50.73,0,0,0,5.95,0,0,0,0,0,0,0,29.5,2.31,1.64
